time="2022-11-18T18:37:46+05:30" level=info msg="# playfiles selected for load-testing: 1"
time="2022-11-18T18:37:46+05:30" level=info msg="1.     /plays/internal/short_demo/play_greenvn_post.json"
time="2022-11-18T18:37:46+05:30" level=info msg="==============================================================="
time="2022-11-18T18:37:46+05:30" level=info msg="PLAY START: play-A01-Internal-CreateAllocation-API id: A01"
time="2022-11-18T18:37:46+05:30" level=info msg="summary directory created."
time="2022-11-18T18:37:46+05:30" level=info msg="ITERATION START: 1"
time="2022-11-18T18:37:46+05:30" level=info msg="RUN START: act: act-1.001" act_api=LA_GREENVN_CREATE_ALLOCATION act_name=act-1.001 duration_in_second=180 iteration=1 play_id=A01 play_name=play-A01-Internal-CreateAllocation-API rate_per_second=40 rpm=2400 timeout_in_ms=120000 vegeta_keepalive=true
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.487157234s seq=319 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.494674565s seq=320 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.484706581s seq=321 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.492203124s seq=322 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.491323811s seq=323 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.49421347s seq=324 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.491210596s seq=325 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.48108751s seq=326 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.485615489s seq=327 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.488224733s seq=328 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.481934369s seq=329 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.489147203s seq=330 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.492326587s seq=331 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.488226147s seq=332 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.493469533s seq=333 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.500699611s seq=334 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.494121386s seq=335 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.485508151s seq=336 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.485594411s seq=337 status_code=504
time="2022-11-18T18:38:05+05:30" level=error msg="504 Gateway Time-out" latency=10.48619425s seq=338 status_code=504
