time="2022-11-18T18:36:52+05:30" level=info msg="# playfiles selected for load-testing: 1"
time="2022-11-18T18:36:52+05:30" level=info msg="1.     /plays/internal/short_demo/play_greenvn_post.json"
time="2022-11-18T18:36:52+05:30" level=info msg="==============================================================="
time="2022-11-18T18:36:52+05:30" level=info msg="PLAY START: play-A01-Internal-CreateAllocation-API id: A01"
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=564.163015ms seq=415 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=546.515025ms seq=428 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=543.155806ms seq=432 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=347.679677ms seq=549 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=304.696772ms seq=575 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=392.113344ms seq=523 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=564.792073ms seq=421 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=376.455291ms seq=536 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=351.709845ms seq=552 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.150189289s seq=75 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=401.990125ms seq=524 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=371.4187ms seq=545 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=352.345385ms seq=556 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=353.752192ms seq=557 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=576.299066ms seq=426 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=609.038324ms seq=411 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=429.183715ms seq=519 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=420.283632ms seq=526 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=345.487591ms seq=572 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=350.169692ms seq=569 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=436.511424ms seq=518 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=278.910235ms seq=614 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=374.730579ms seq=558 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=300.18ms seq=603 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=462.612875ms seq=507 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=397.782703ms seq=546 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=472.808242ms seq=504 status_code=401
